Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,similarity_factor
Jab Tak Hai Jaan,Shakthi Sree Gopalan,BollywoodRomantic,Jab Tak Hai Jaan,,0.0
Jiyein Kyun,Papon,BollywoodSad,Dum Maaro Dum,,0.0
Pehle Ke Jaisa,K.K.,BollywoodSad,Jalebi,,0.0
Tujhpe Fida,"Shraddha Pandit, Sulaiman Merchant",BollywoodDance,Heroine,,0.0
Gaaye Jaa (Male),Mohammed Irfan,BollywoodDance,Brothers,,0.0
Main Aisa Kyun Hoon,Shaan,BollywoodDance,Lakshya,,0.0
Love Ka The End,Aditi Singh Sharma,Bollywood,Love Ka The End,,0.0
Main Aisa Kyon Hoon,Shaan,BollywoodDance,Lakshay,,0.0
Alizeh,"Alizeh Ash King, Arijit Singh, Shashwat Singh",BollywoodRomantic,Ae Dil Hai Mushkil,,0.0
Tu Bhoola Jise,K.K.,BollywoodPatriotic,Airlift,,0.0
Jitni Dafa,"Jeet Gannguli, Yasser Desai",BollywoodRomantic,Parmanu The Story of Pokhran,,0.0
Zara Si Dosti,Arijit Singh,Bollywood,Happy Bhaag Jayegi,,0.0
Ankahee,Amit Trivedi,BollywoodRomantic,Lootera,,0.0
Mera Mann Kehne Laga,Falak Shabir,BollywoodDance,Nautanki Saala,,0.0
Shubh Din,"Keerthi Sagathia, Yotica Tangri",Bollywood,Parmanu The Story of Pokhran,,0.0
Nazm Nazm,Arko,BollywoodRomantic,Bareilly Ki Barfi,,0.0
Nazdeekiyan,"Neeti Mohan, Nikhil Paul George",BollywoodRomantic,Shaandaar,,0.0
Tu Mohabbat Hai,"Atif Aslam, Monali Thakur",BollywoodRomantic,Tere Naal Love Ho Gaya,,0.0
Tu Banja Gali Benaras Ki,Asit Tripathy,BollywoodRomantic,Shaadi Mein Zaroor Aana,,0.0
Tum Paas Aa Rahe Ho,"Jagjit Singh, Lata Mangeshkar",BollywoodRomantic,Veer Zaara,,0.0
Sajdaa,"Rahat Fateh Ali Khan, Richa Sharma, Shankar Mahadevan",BollywoodRomantic,My Name is Khan,,0.0
Rozaana,Salim Merchant,BollywoodRomantic,Love Breakups Zindagi,,0.0
Bismil,Sukhwinder Singh,BollywoodDance,Haider,,0.0
Love Ka Matlab Hai Pyar,"Asha Bhosle, Mohammed Rafi",BollywoodDance,Love In Shimla,,0.0
Meri Maa,K.K.,BollywoodSad,Yaariyan,,0.0
Love You Till The End,Armaan Malik,BollywoodDanceRomantic,Jai Ho,,0.0
Allah Ke Bande,Kailash Kher,BollywoodSad,Waisa Bhi Hota Hai,,0.0
Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",BollywoodSad,Raabta,,0.0
Bin Tere,"Shafqat Amanat Ali, Sunidhi Chauhan",BollywoodSad,I Hate Luv Storys,,0.0
Baba Bolta Hain Bas Ho Gaya,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood,Sanju,,0.0
Kuch To Hai,Armaan Malik,BollywoodSad,Do Lafzon Ki Kahani,,0.0
Aaj Din Chadheya,"Harshdeep Kaur, Irshad Kamil",BollywoodRomantic,Love Aj Kal,,0.0
Jee Ve Sohaneya,Nooran Sisters,BollywoodSad,Jab Harry Met Sejal,,0.0
Jogi,"Aakanksha Sharma, Yasser Desai",BollywoodRomantic,Shaadi Mein Zaroor Aana,,0.0
Musu Musu,Shaan,BollywoodRomantic,Pyaar Mein Kabhi Kabhi,,0.0
Hass Nache Le,Shahid Mallya,BollywoodDance,Udta Punjab,,0.0
Rehna Tu,"A.R. Rahman, Benny Dayal, Tanvi",BollywoodRomantic,Delhi-6,,0.0
Rozana,Shreya Ghoshal,BollywoodRomantic,Naam Shabana,,0.0
Tujhe Sochta Hoon,K.K.,BollywoodRomanticSensual,Jannat 2,,0.0
Agar Main Kahoon,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Lakshay,,0.0
Allah Hi Reham,Ustad Rashid Khan,BollywoodRomantic,My Name is Khan,,0.0
Anandoloke,Clinton Cerejo,BollywoodDance,Kahaani 2,,0.0
Dil Dooba,"Shreya Ghoshal, Sonu Nigam",BollywoodDance,Khakee,,0.0
Mar Jayian,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Vicky Donor,,0.0
Chupke Se,"Murtuza, Qadir, Sadhana Sargam",BollywoodRomantic,Saathiya,,0.0
Is Pal,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Aaja Nachle,,0.0
Saajan Aayo Re,"A.R. Rahman, Jonita Gandhi, Nakash Aziz",BollywoodRomantic,Ok Jaanu,,0.0
Mere Nishaan,"Anjjan, Kailash Kher, Meet Bros",Bollywood,Oh My God,,0.0
Bakhuda Tumhi Ho,"Alka Yagnik, Atif Aslam",BollywoodRomantic,Kismat Konnection,,0.0
Tu Mere Paas,Ankit Tiwari,BollywoodSad,Wazir,,0.0
Ishq De Fanniyar,Jyotica Tangri,BollywoodRomantic,Fukrey Returns,,0.0
Tab Bhi Tu,Rahat Fateh Ali Khan,BollywoodSad,October,,0.0
Kya Mujhe Pyar Hai,K.K.,BollywoodRomantic,Woh Lamhe,,0.0
Is This Love  Kahin Na Laage,"Mohit Chauhan, Shreya Ghoshal",BollywoodDance,Kismat Konnection,,0.0
Maa,Shankar Mahadevan,BollywoodSad,Taare Zameen Par,,0.0
Zehnaseeb,"Chinmayi Sripaada, Shekhar Ravjiani",BollywoodDance,Hasee Toh Phasee,,0.0
Dekha Hazaro Dafaa,"Arijit Singh, Palak Muchhal",BollywoodRomantic,Rustom,,0.0
Maula Mere Lele Meri Jaan,"Krishna Beura, Salim Merchant",BollywoodDevotionalSad,Chak De India,,0.0
Kuch Iss Tarah,Arnab Dutta,BollywoodSad,1921,,0.0
Baadal,"Adnan Sami, Alka Yagnik",BollywoodDance,Yuva,,0.0
Bahara,"Shreya Ghoshal, Sona Mohapatra",BollywoodRomantic,I Hate Luv Storys,,0.0
Dil Ki Hai Tamanna,"Neha Bhasin, Shalini Singh, Vijay Prakash",BollywoodDance,Force,,0.0
Mujhse Huee Bas Yeh,Alka Yagnik,BollywoodSad,Ishq Vishk,,0.0
Tum Jo Mile,Armaan Malik,BollywoodRomantic,Saansein,,0.0
Haareya,Arijit Singh,BollywoodRomantic,Meri Pyaari Bindu,,0.0
Bheegi Si Bhaagi Si,Mohit Chauhan,BollywoodRomance,Raajneeti,,0.0
