Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,similarity_factor
Tu Jaane Na,Atif Aslam,BollywoodRomantic,Ajab Prem Ki Ghazab Kahani,,0.0
Dagariyo Chalo,"Alka Yagnik, Udit Narayan",BollywoodDance,Chalte Chalte,,0.0
Bheegh Loon (Male),Ankit Tiwari,BollywoodRomantic,Khamoshiyan,,0.0
Tera Hone Laga Hoon,"Alisha Chinai, Atif Aslam",BollywoodRomantic,Ajab Prem Ki Ghazab Kahani,,0.0
Mein Sharabi (Remix),Yo Yo Honey Singh,BollywoodDance,Cocktail,,0.0
Poore Se Zara Sa Kam Hain,Rashid Khan,BollywoodSad,Mausam,,0.0
Brothers Mashup,Multiple,BollywoodDance,Brothers,,0.0
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",BollywoodDance,ABCD 2,,0.0
Nit Khair Manga,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,,0.0
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",BollywoodRomanticSad,Namaste England,,0.0
Thodi Der,"Farhan Saeed, Shreya Ghoshal",BollywoodSad,Half Girlfriend,,0.0
Mar Gaye,"Manj Musik, Nindy Kaur",BollywoodDance,Beiimaan Love,,0.0
Tere Bina Tere Bina,"Alka Yagnik, Shaan",BollywoodDance,Khushi,,0.0
Mehbooba,"Mohammed Rafi, Neha Kakkar, Yasser Desai",BollywoodDance,Fukrey Returns,,0.0
Mohe Rang Do Laal,"Pandit Birju Maharaj, Shreya Ghoshal",BollywoodRomantic,Bajirao Mastani,,0.0
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",BollywoodRomanticSad,Baaghi 2,,0.0
Tere Dil Mein,Armaan Malik,BollywoodSad,Commando 2,,0.0
Naina Milaike,"Madhushree, Sadhana Sargam",BollywoodDance,Saathiya,,0.0
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",BollywoodSad,Tamasha,,0.0
Kem Cho,"Ikka, Jyotica Tangri",BollywoodDance,Baazaar,,0.0
Aaj Se Teri,Arijit Singh,BollywoodRomantic,Padman,,0.0
Ik Vaari Aa,Arijit Singh,BollywoodRomantic,Raabta,,0.0
Alcholic (Remix),Yo Yo Honey Singh,BollywoodDance,The Shaukeens,,0.0
Genda Phool,"Rajat Dholakia, Shraddha Pandit, Sujata Majumdar, V.N. Mahathi",BollywoodDance,Delhi-6,,0.0
Mohabbat Ke Din Ho,"Alka Yagnik, Udit Narayan",BollywoodDance,Farz,,0.0
Kiss Me Baby  Title Song,Adnan Sami,BollywoodDance,Garam Masala,,0.0
Tu Hai Ki Nahin,Ankit Tiwari,BollywoodSad,Roy,,0.0
Dukki Tikki,Mika Singh,BollywoodDance,Raja Natwarlal,,0.0
Chupke Se Sun,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Mission Kashmir,,0.0
Ajib Dastan Hai Yeh,Lata Mangeshkar,BollywoodDance,Dil Apna Aur Preet Parai,,0.0
Pal Mein Mila Jahan,Shankar Mahadevan,BollywoodRomantic,Aashayein,,0.0
World Dance Medley,"K.K., Neeti Mohan, Shankar Mahadevan, Sukhwinder Singh, Vishal Dadlani",BollywoodDanceRomantic,Happy New Year,,0.0
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,,0.0
Fitoori,"Aishwarya Bhandari, Ganesh Chandanshive, Vaishali Bhaisne",BollywoodDance,Bajirao Mastani,,0.0
Kunwara,Salim Merchant,BollywoodDance,Jodi Breakers,,0.0
Teri Ore,"Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodRomantic,Singh Is Kinng,,0.0
Tu Jo Mila,K.K.,Bollywood,Bajrangi Bhaijaan,,0.0
Galliyan,Ankit Tiwari,BollywoodRomantic,Ek Villain,,0.0
Ek Dafa Ek Jungle Tha,"Ilaiyaraaja, Kamal Haasan, Sridevi",BollywoodDance,Sadma,,0.0
Koi Pyar Ki Dekhe Jadugari,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Kohinoor,,0.0
Sajna Ve,Rahat Fateh Ali Khan,BollywoodSad,Life is Beautiful,,0.0
Dilrubaon Ke Jalwe,"Amit Kumar, Monali Thakur",BollywoodDance,Dulha Mil Gaya,,0.0
Khatar Patar,Papon,BollywoodDance,Sui Dhaaga,,0.0
O Re Khuda,"Adnan Sami, Javed Basheer",BollywoodRomantic,Rush,,0.0
Aafaton Ke Parinde,"Divya Kumar, Suraj Jagan",BollywoodDance,Ishaqzaade,,0.0
Manali Trance,"Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,The Shaukeens,,0.0
Zindagi Bana Loon,Palak Muchhal,BollywoodRomantic,Sweetiee Weds NRI,,0.0
Khamakhaa,"Ayushman Khurana, Neeti Mohan",BollywoodRomance,Bewakoofiaan,,0.0
Hafiz Hafiz,Mohit Chauhan,BollywoodRomantic,Laila Majnu,,0.0
Bulleya,Papon,BollywoodRomantic,Sultan,,0.0
Show Me Your Jalwa,"Kailash Kher, Richa Sharma, Salim Merchant",BollywoodDance,Aaja Nachle,,0.0
Raghupati Raghav,"Alka Yagnik, Shankar Mahadevan",BollywoodDance,Kuch Kuch Hota Hai,,0.0
Zaroorat,Mustafa Zahid,BollywoodSad,Ek Villain,,0.0
G Phaad Ke (Remix),"Divya Kumar, Shefali Alvarez",BollywoodDance,Happy Ending,,0.0
Tinka Tinka Dil Mera,Rahat Fateh Ali Khan,BollywoodSad,Tubelight,,0.0
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",BollywoodDance,Rockstar,,0.0
Humnava,Papon,BollywoodSad,Hamari Adhuri Kahani,,0.0
Pyar Ho (Redux),Sunidhi Chauhan,Bollywood,Munna Michael,,0.0
Aa Jao Na,"Arijit Singh, Shashwat Sachdev",BollywoodSad,Veere Di Wedding,,0.0
Dard Ka Pata,"Mohammed Irfan, Sam",BollywoodSad,Gandhigiri,,0.0
Kukkad Kamaal Da,"Marianne, Nisha Mascarenhas, Shahid Mallya",BollywoodDance,Student of the Year,,0.0
Mose Mera Shyam Rootha,Lata Mangeshkar,BollywoodDevotional,Johny Mera Naam,,0.0
Do Pal,"Lata Mangeshkar, Sonu Nigam",BollywoodRomanticSad,Veer Zaara,,0.0
Lamha Lamha,Abhijeet,BollywoodRomance,Gangster,,0.0
Jab Tak,"Amaal Mallik, Armaan Malik",BollywoodRomantic,M.S. Dhoni,,0.0
Maula Mere Maula,Roop Kumar Rathod,BollywoodRomantic,Anwar,,0.0
Mubarakan Title Song,"Badshah, Juggy D, Sukriti Kakar, Yash Narvekar",BollywoodDance,Mubarakan,,0.0
Tumsa Nahin Dekha,Mohammed Rafi,BollywoodRomantic,Tumsa Nahin Dekha,,0.0
Sau Aasmaan,"Armaan Malik, Neeti Mohan",BollywoodDance,Baar Baar Dekho,,0.0
Woh Chand Jaisi Ladki,Udit Narayan,BollywoodRomantic,Devdas,,0.0
Lets Rock Soniye,"Shaan, Tulsi Kumar",BollywoodDance,Bhool Bhulaiyaa,,0.0
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",BollywoodDance,Manmarziyaan,,0.0
Senorita (Remix),"Abhay Deol, Farhan Akhtar, Hrithik Roshan",BollywoodDance,Zindagi Na Milegi Dobara,,0.0
Kabira,"Rekha Bhardwaj, Tochi Raina",BollywoodSad,Yeh Jawaani Hai Deewani,,0.0
Tu Hai,"A.R. Rahman, Sanah Moidutty",BollywoodRomantic,Mohenjo Daro,,0.0
Woh Lamhe Woh Baatein,Atif Aslam,BollywoodSad,Zeher,,0.0
Mohabbat Nasha Hai,"Neha Kakkar, Tony Kakkar",BollywoodSad,Hate Story 4,,0.0
Ayaashi,K.K.,BollywoodDance,Badmaash Company,,0.0
Ishqe Di Lat,Ankit Tiwari,BollywoodRomantic,Junooniyat,,0.0
Lo Safar,Jubin Nautiyal,BollywoodRomantic,Baaghi 2,,0.0
Dheemi Dheemi,Hariharan,BollywoodRomantic,1947: Earth,,0.0
Desi Girl,"Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani",BollywoodDance,Dostana,,0.0
Badlapur,Multiple,BollywoodDance,Badlapur,,0.0
Dua,"Kailash Kher, Marianne D'cruz Aiman, Sukhwinder Sing",BollywoodDance,Kurbaan,,0.0
Mora Gora Ang Laile,Lata Mangeshkar,BollywoodRomantic,Bandini,,0.0
Zindagi Kuch Toh Bata,Jubin Nautiyal,Bollywood,Bajrangi Bhaijaan,,0.0
O Saathi,"Atif Aslam, Payal Dev",BollywoodRomantic,Baaghi 2,,0.0
Dariya Ho,"Monali Thakur, Shadab Faridi",BollywoodDance,Kamaal Dhamaal Malamaa,,0.0
Prem Jogan Ban Ke,Ustad Bade Ghulam Ali,BollywoodSad,Mughal-E-Azam,,0.0
Saad Shukrana,Ankit Tiwari,BollywoodRomantic,Mr. X,,0.0
Meri Nazren Hasin Hai Ki Tum,Asha Bhosle,BollywoodRomantic,Ek Musafir Ek Hasina,,0.0
Tu Hi Tu,Ayushman Khurana,BollywoodRomance,Nautanki Saala,,0.0
Agg Lage Aaj Kal De Fashion Nu,"Hard Kaur, Labh Janjua",BollywoodDance,Haal-E-Dil,,0.0
Mummy Kasam,"Gurinder Seagal, Payal Dev",BollywoodDance,Nawabzaade,,0.0
Aakhon Aakhon,Yo Yo Honey Singh,BollywoodDance,Bhaag Johnny,,0.0
Tik Tuk,"Daler Mehndi, Monali Thakur, Vishal Dadlani",BollywoodDance,Rascals,,0.0
Shanana Na,"Abhijeet, Alka Yagnik, Ayub, Dabboo Malik, Jordy Patel, Sriijiit",BollywoodDance,Maine Dil Tujhko Diya,,0.0
Behti Hawa Sa Tha Woh,"Shaan, Shantanu Moitra",BollywoodSad,3 Idiots,,0.0
Lucky Boy,"Hard Kaur, Raja Hassan, Sunidhi Chauhan",BollywoodDance,Bachna Ae Haseeno,,0.0
Challa,Rabbi Shergill,BollywoodDance,Jab Tak Hai Jaan,,0.0
Jab Chaye Tera Jadoo,Kanika Kapoor,BollywoodDance,Main Aur Charles,,0.0
Kay Sera Sera,"Kavita Krishnamurthy, Shankar Mahadevan",BollywoodDance,Pukar,,0.0
Yadaan Teriyaan,Rahat Fateh Ali Khan,Bollywood,Hero,,0.0
Theher Ja (Remix),Armaan Malik,BollywoodRomantic,October,,0.0
Mere Khwabon Ka,Udit Narayan,BollywoodRomantic,Jism,,0.0
Poore Chand,Shail Hada,BollywoodRomantic,Goliyon Ki Rasleela Ram-leela,,0.0
Ek Tha Tiger Mashup,Multiple,BollywoodDance,Ek Tha Tiger,,0.0
You Are My Soniya,"Alka Yagnik, Sonu Nigam",BollywoodDance,Kabhi Khushi Kabhie Gham,,0.0
Shabe Firaq,"Himesh Reshammiya, Tulsi Kumar",BollywoodDance,Chup Chup Ke,,0.0
Tenu Le Ke,"Mahalakshmi Iyer, Sonu Nigam",BollywoodDance,Salaam-E-Ishq,,0.0
Peh Gaya Khalara,"Akanksha Bhandari, Akasa Singh, Divya Kumar, Jasleen Royal",BollywoodDance,Fukrey Returns,,0.0
Hamdam Mere,"Asha Bhosle, Mohammed Rafi",BollywoodDance,Phir Wohi Dil Laya Hoon,,0.0
Maine Tere Liye,Mukesh,BollywoodDance,Anand,,0.0
Miss India Martee Mujhpe,"Adnan Sami, Amit Kumar",BollywoodDance,Dhamal,,0.0
Thug Le,"Sweta Pandit, Vishal Dadlani",BollywoodDance,Ladies Vs Ricky Bahl,,0.0
Tera Fitoor,Arijit Singh,BollywoodRomantic,Genius,,0.0
Every Night & Day,"Himesh Reshammiya, Iulia Vantur",BollywoodDance,Aap Se Mausiiquii,,0.0
Kabhi Alvida Naa Kehna Title Track,"Alka Yagnik, Sonu Nigam",BollywoodRomanticSad,Kabhi Alvida Naa Kehna,,0.0
Do Dilon Ke,"Hariharan, Shreya Ghoshal",BollywoodPatrioticSad,Partition 1947,,0.0
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",BollywoodSad,Half Girlfriend,,0.0
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",BollywoodRomantic,Dhadak,,0.0
Sweeta,Adnan Sami,BollywoodDance,Kill Dil,,0.0
Pee Paa Pee Paa,Diljit Dosanjh,BollywoodDance,Tere Naal Love Ho Gaya,,0.0
Pukarta Chala Hoon Main,Mohammed Rafi,Bollywood,Mere Sanam,,0.0
Sanam Teri Kasam (Reprise),"Mohammed Irfan, Palak Muchhal",BollywoodSad,Sanam Teri Kasam,,0.0
Kaun Hai Woh,"Alisha Chinai, Udit Narayan",BollywoodDance,Ishq Vishk,,0.0
Saadi Galli Aaja (Remix),Ayushman Khurana,BollywoodDance,Nautanki Saala,,0.0
Gore Gore Se,Alka Yagnik,BollywoodDance,Hum Tum,,0.0
Binte Dil,Arijit Singh,BollywoodDance,Padmaavat,,0.0
Aap Ki Kashish,Himesh Reshammiya,BollywoodRomantic,Aashiq Banaya Aapne,,0.0
Aaja Mahiya,"Alka Yagnik, Udit Narayan",BollywoodDance,Yaadein,,0.0
Tera Noor,Jyoti Nooran,Bollywood,Tiger Zinda Hai,,0.0
Ay Sakhi,"Aanchal Sethi, Chinmayi Sripaada, Madhushree, Vaishali Samant",Bollywood,Raanjhanaa,,0.0
Pyar De Pyar Le,"Dev Negi, Ikka, Iulia Vantur",BollywoodDance,Genius,,0.0
Tumse Pyar Ho Gaya,"Mili Nair, Neeti Mohan",BollywoodDance,Shaadi Ke Side Effects,,0.0
Haath Chhute Bhi,Jagjit Singh,BollywoodSad,Pinjar,,0.0
Fukraa,"Hard Kaur, Jazzy B",BollywoodDance,Rush,,0.0
Race Saanson Ki,"Neeraj, Sunidhi Chauhan",BollywoodDance,Race,,0.0
Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar",BollywoodRomantic,Airlift,,0.0
Toh Phir Aao,Mustafa Zahid,BollywoodSad,Awarapan,,0.0
Kehdoon Tumhen,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Deewaar,,0.0
Aila Re Aila,Daler Mehndi,BollywoodDance,Khatta Meetha,,0.0
Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",BollywoodDance,Yamla Pagla Deewana Phir Se,,0.0
Dil Ka Qaraar,"Shraddha Pandit, Sonu Nigam",BollywoodRomantic,Sangharsh,,0.0
Dekho Nashe Mein,"K.K., Shaan, Sunidhi Chauhan",BollywoodDance,Race,,0.0
Kuch Din,Jubin Nautiyal,BollywoodRomantic,Kaabil,,0.0
Mein Sharabi,Yo Yo Honey Singh,BollywoodDance,Cocktail,,0.0
Ankhiyaan,Kanika Kapoor,BollywoodSad,Do Lafzon Ki Kahani,,0.0
Neele Neele Ambar par,Kishore Kumar,BollywoodDance,Kalaakaar,,0.0
Girl I Need You,"Arijit Singh, Roach Killa",BollywoodRomantic,Baaghi,,0.0
Sanam Teri Kasam,Ankit Tiwari,BollywoodRomantic,Sanam Teri Kasam,,0.0
Bholi Si Surat,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,,0.0
Zindagi Kaisi Hai Paheli,Manna Dey,BollywoodDance,Anand,,0.0
Lovely,"Fateh, Kanika Kapoor, Miraya Varma, Ravindra Upadhyay",BollywoodDance,Happy New Year,,0.0
Koi Aisa Alam,"Mahalakshmi Iyer, Sonu Nigam",BollywoodRomantic,Karam,,0.0
Chogada,"Asees Kaur, Darshan Raval",BollywoodDance,Loveratri,,0.0
Most Wanted Munda,"Earl Edgar, Meet Bros",BollywoodDance,Ki & Ka,,0.0
Tanhayee,Sonu Nigam,BollywoodSad,Dil Chahta Hai,,0.0
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",BollywoodDance,Ek Ladki Ko Dekha Toh Aisa Laga,,0.0
Ungli Pe Nachalein,"Dev Negi, Shipra Goyal",BollywoodDance,Ungli,,0.0
Tujhko Bhulana,"Roshni Baptist, Sangeet Haldipur",BollywoodDance,Murder 2,,0.0
Ruk Ja O Dil Deewane,Udit Narayan,BollywoodRomantic,Dilwale Dulhania Le Jayenge,,0.0
Alvida,Mohammed Irfan,BollywoodRomantic,Luv Shv Pyar Vyar,,0.0
Tu Hi Khwahish,Sunidhi Chauhan,BollywoodDance,Once Upon A Time In Mumbaai Dobara,,0.0
Aise Na Mujhe Tum Dekho,Kishore Kumar,BollywoodRomantic,Darling Darling,,0.0
Jane Kya Dhoondti Rahti Hai,Mohammed Rafi,BollywoodSad,Shola Aur Shabnam,,0.0
Dil Kehta Hai,"Alka Yagnik, Kumar Sanu",BollywoodSad,Akele Hum Akele Tum,,0.0
Sheher Mein,"Karthik, Mohit Chuahaan",BollywoodDance,Rockstar,,0.0
Chor Bazari,Neeraj Shridhar,BollywoodDance,Love Aj Kal,,0.0
Ishq Wala Love,"Neeti Mohan, Salim Merchant",Bollywood,Student of the Year,,0.0
Hona Hai Kya,Ram Sampath,BollywoodDance,Talaash,,0.0
Holi Khelein,"Anmol Malik, Shreya Ghoshal",BollywoodDance,Begum Jaan,,0.0
Chal Wahan Jaate Hain,Arijit Singh,BollywoodRomantic,Heropanti,,0.0
Gori Zara Hans De Tu Hans De,Mohammed Rafi,BollywoodDance,Asli Naqli,,0.0
Mat Ja Re,Ankit Tiwari,BollywoodDance,Tanu Weds Manu,,0.0
Raasleela,Sumedha Karmahe,BollywoodDance,3 Storeys,,0.0
Beedi,"Clinton Cerejo, Nachiketa, Sukhwinder Singh, Sunidhi Chauhan",BollywoodDance,Omkara,,0.0
Piya Aaye Na,"K.K., Tulsi Kumar",BollywoodSad,Aashiqui 2,,0.0
Hum To Dil Chahen Tumhara,"Hema Sardesai, Kumar Sanu",BollywoodRomantic,Soldier,,0.0
Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",BollywoodDance,Baazaar,,0.0
Hamari Adhuri Kahani,Arijit Singh,BollywoodSad,Hamari Adhuri Kahani,,0.0
Dekho Dekho Jaanam,"Alka Yagnik, Udit Narayan",BollywoodDance,Ishq,,0.0
Aisa Kyoon Hota Hai,Alka Yagnik,BollywoodRomantic,Ishq Vishk,,0.0
Hasi Ban Gaye,Shreya Ghoshal,BollywoodRomantic,Hamari Adhuri Kahani,,0.0
Humsafar,"Akhil Sachdeva, Mansheel Gujral",BollywoodRomanticSad,Badrinath Ki Dulhania,,0.0
Dillagi Main Jo Beet Jaye,"Himesh Reshammiya, Jayesh Gandhi, Shaan, Sonu Nigam, Sunidhi Chauhan, Vasundhara Das",BollywoodDance,Aashiq Banaya Aapne,,0.0
Sapne Mein,"Asha Bhosle, Suresh Wadkar",BollywoodDance,Satya,,0.0
Happy Ending,"Abhijeet Sawant, Debojit Saha, Harshit Saxena",BollywoodDance,Tees Maar Khan,,0.0
Bolo Har Har Har,"Anugrah, Badshah, Megha Sriram Dalton, Mithoon, Mohit Chauhan, Sukhwinder Singh",BollywoodDance,Shivaay,,0.0
Bola Har Har Har,"Aaman Trikha, Badshah, Sukhwinder Singh",BollywoodDevotional,Shivaay,,0.0
Pinjra Tod Ke,Sunidhi Chauhan,Bollywood,Simran,,0.0
Phatte Tak Nachna,Sunidhi Chauhan,BollywoodDance,Dolly Ki Doli,,0.0
Ishq Nachaya Kare,Sunidhi Chauhan,BollywoodDance,Karam,,0.0
Dil Darbadar,Ankit Tiwari,BollywoodSad,PK,,0.0
O Re Piya,Rahat Fateh Ali Khan,BollywoodSad,Aaja Nachle,,0.0
Pyar Ko Ho Jane Do,"Kumar Sanu, Lata Mangeshkar",BollywoodRomantic,Dushman,,0.0
Chookar Mere Man Ko,Kishore Kumar,BollywoodRomantic,Yaarana,,0.0
Nain Na Jodeen,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",BollywoodRomanticSad,Badhaai Ho,,0.0
Ishq Sufiyana (Male),Kamal Khan,BollywoodRomantic,The Dirty Picture,,0.0
O Sathiya,"Alka Yagnik, Udit Narayan",BollywoodDance,Saaya,,0.0
Aahun Aahun,"Ashish Pandit, Jaspreet Singh, Master Saleem, Suzanne D'Mello",BollywoodDance,Love Ajkal,,0.0
Channa Mereya,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,,0.0
Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",BollywoodSad,Genius,,0.0
Sharabi,"Nindy Kaur, Shekhar Ravjiani, Vishal Dadlani",BollywoodDance,Happy New Year,,0.0
O Saathi Re,"Shreya Ghoshal, Vishal Bhardwaj",BollywoodDance,Omkara,,0.0
Shikayat Hai,Roop Kumar Rathod,BollywoodSad,Jism,,0.0
Awara Hoon,Mukesh,BollywoodDance,Awaara,,0.0
Chand Sitare,Kumar Sanu,BollywoodRomantic,Kaho Naa.... Pyaar Hai,,0.0
Yeh Joker,"Shweta Pandit, Sonu Nigam",BollywoodDance,Joker,,0.0
Mehbooba Mehbooba,"Adnan Sami, Sunidhi Chauhan",Bollywood,Ajnabee,,0.0
Abhagi Piya Ki,"Ahmed Hussain, Kanika Kapoor, Mohammed. Hussain, Raja Hasan",BollywoodSad,Tera Intezaar,,0.0
This Party Is Over Now,Yo Yo Honey Singh,BollywoodDance,Mitron,,0.0
Race 2 (Mashup),Multiple,BollywoodDance,Race 2,,0.0
ABCD,"Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",BollywoodDance,Yaariyan,,0.0
Chura Lo Dil Mera,"Kumar Sanu, Sanjivani",BollywoodRomantic,Kareeb,,0.0
ABCD Yaariyan,"Benny Dayal, Shefali Alvares",BollywoodDance,Yaariyan,,0.0
Thirkat Ang,Alka Yagik,Bollywood,Payal Ki Jhankaar,,0.0
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",BollywoodSad,Creature 3D,,0.0
Pyaar Tune Kya Kiya,"Alka Yagnik, Sonu Nigam",BollywoodDance,Pyaar Tune Kya Kiya,,0.0
Pinky,"Mamta Sharma, Meet Bros Anjjan",BollywoodDance,Zanjeer,,0.0
Jigar Da Tukda,"Salim Merchant, Shraddha Pandit",BollywoodDance,Ladies Vs Ricky Bahl,,0.0
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,,0.0
Tanhaiyan,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Aap Kaa Surroor,,0.0
Baarish,"Ash King, Shashaa Tirupati",BollywoodRomantic,Half Girlfriend,,0.0
Hai Junoon,K.K.,BollywoodDance,New York,,0.0
Apni Ulfat Pe Zamane Ka,Mukesh,BollywoodDance,Sasural,,0.0
Ishqyaun Dhishyaun,Aditya Narayan,BollywoodRomantic,Goliyon Ki Rasleela Ram-leela,,0.0
Let It Be,Shaan,BollywoodDance,Desi Boyz,,0.0
Jee Karda,"Labh Janjua, Suzanne D'Mello",BollywoodDance,Singh Is Kinng,,0.0
Jhuki Jhuki Si Nazar,Jagjit Singh,BollywoodSad,Arth,,0.0
Holi Biraj Ma,Jubin Nautiyal,BollywoodDance,Genius,,0.0
Gerua,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,,0.0
Seedha Saadha,Amit Mishra,BollywoodSad,Commando 2,,0.0
Ae Dil Hai Mushkil,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,,0.0
Dooba Re Dooba,"Alka Yagnik, Sonu Nigam",BollywoodDance,Ishq Vishk,,0.0
Chalo Dildar Chalo,"Himani Kapoor, Himesh Reshammiya, Vinit",BollywoodRomantic,Dil Diya Hai,,0.0
Mallo Malli (Lehmber Hussainpuri),"Hard Kaur, Lehmber Hussainpuri",BollywoodDance,Mausam,,0.0
Bachna Ae Haseeno,"Kishore Kumar, Sumit Kumar, Vishal Dadlani",BollywoodDance,Bachna Ae Haseeno,,0.0
khwab jo raag de,"Rahat Fateh Ali Khan, Shankar Mahadevan",Bollywood,London Dreams,,0.0
Jahan Teri Yeh Nazar Hai,Kishore Kumar,BollywoodDance,Kaalia,,0.0
O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",BollywoodRomantic,Jab Pyar Kisisi Se Hota Hai,,0.0
Sab Tera,"Armaan Malik, Shraddha Kapoor",BollywoodRomantic,Baaghi,,0.0
Sau Tarah Ke,"Amit Mishra, Jonita Gandhi",BollywoodDance,Dishoom,,0.0
Aaj Ki Party (Remix),Mika Singh,BollywoodDance,Bajrangi Bhaijaan,,0.0
Gulabi Aankhen,Mohammed Rafi,BollywoodDanceRomantic,The Train,,0.0
Make Some Noise For The Desi Boyz,"Bob, K.K.",BollywoodDance,Desi Boyz,,0.0
Chak De,"Sadhana Sargam, Sonu Nigam",BollywoodDance,Hum Tum,,0.0
Hai Re Hai Re,"Hema Sardesai, KK",BollywoodDance,Khushi,,0.0
Khol De Baahein,Monali Thakur,BollywoodRomantic,Meri Pyaari Bindu,,0.0
Aankhon Ne Tumhari,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ishq Vishk,,0.0
Black Jama Hai,Sukhwinder Singh,Bollywood,Raid,,0.0
Allah Maaf Kare,"Shilpa Rao, Sonu Nigam",BollywoodDanceRomantic,Desi Boyz,,0.0
Halkat Jawani,Sunidhi Chauhan,BollywoodDance,Heroine,,0.0
Chaska,Krishna Beura,BollywoodDance,Badmaash Company,,0.0
Khuda Hafiz Anjaani Anjaana,"Karthik, Lucky Ali, Sunitha Sarathy",BollywoodDance,Yuva,,0.0
Aap Ki Khatir,Himesh Reshammiya,BollywoodRomantic,Aap Ki Khatir,,0.0
O Panchhi Pyare Sanjh Sakare,Asha Bhosle,BollywoodDance,Bandini,,0.0
Pee Loon,Mohit Chauhan,BollywoodRomance,Once Upon A Time In Mumbai,,0.0
Jhak Maar Ke,"Harshdeep Kaur, Neeraj Shridhar",BollywoodDance,Desi Boyz,,0.0
Naa Jaane,"Anushka Manchanda, Neeraj Shridhar",BollywoodDance,I Me Aur Main,,0.0
Tera Rastaa Chodun Na,"Amitabh Bhattacharya, Anusha Mani",BollywoodRomantic,Chennai Express,,0.0
Laagi Na Choote,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,A Gentleman,,0.0
Gudgudi,Sunidhi Chauhan,Bollywood,Secret Superstar,,0.0
Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",BollywoodDance,Boss,,0.0
Badtameez Dil,Benny Dayal,BollywoodDance,Yeh Jawaani Hai Deewani,,0.0
Tere Bin Nahi Laage,Uzair Jaswal,BollywoodRomanticSad,Ek Paheli Leela,,0.0
Sooraj Dooba Hai,"Adit Singh Sharma, Arijit Singh",BollywoodDance,Roy,,0.0
Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",BollywoodDance,Patiala House,,0.0
Pal Pal Har Pal,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Lage Raho Munna Bhai,,0.0
Gajanana,"Shreyas Puranik, Sukhwinder Singh",BollywoodDevotional,Bajirao Mastani,,0.0
Suhana Safar Aur Yeh Mausam,Mukesh,BollywoodDance,Madhumati,,0.0
Jeena Jeena,Atif Aslam,BollywoodRomanticSad,Badlapur,,0.0
Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Namastey London,,0.0
Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",BollywoodDance,Andaz Apna Apna,,0.0
Ajnabi,Zebunnisa Bangash,BollywoodRomantic,Madras Cafe,,0.0
Arre Yaaro Mere Pyaaro,"Udit Narayan, Vijayeta Pandit",Bollywood,Jo Jeeta Wohi Sikander,,0.0
